,1,2-3,4-10,11-25,CM,MC-WD-DNF,
David Lipsky,0,0,0,0,2,2,
Jason Norris,0,0,0,0,0,2.5,
Maximilian Kieffer,0,0,0,0,0.5,2,
Phachara Khongwatmai,0,0,0,0,0,2.5,
Nick Hardy(am),0,0,0,0,2,0,
Mark Wilson,0,0,0,0,2,1,
D.J. Trahan,0,0,0,0,1,2,
Tim Herron,0,0,0,1,1,4.5,
Manav Shah,0,0,0,0,0,1,
Charlie Wi,0,0,0,0,0,1,
Dru Love IV,0,0,0,0,0,3,
Broc Everett,0,0,0,0,0,1,
Charlie Beljan,0,0,0,0,1,5,
Vince India,0,0,0,0,0,1,
Steven Bowditch,0,0,0,0,0,2.5,
Troy Matteson,0,0,0,0,0,3.5,
Robert Allenby,0,0,0,0,1,2.5,
Daniel Chopra,0,0,0,0,0,3,
Chris Couch,0,0,0,0,1,2.5,
John Rollins,0,0,0,0,0,3,
Brian Bullington,0,0,0,0,0,1,
Brendon Todd,0,0,0,0,0,2,
Craig Barlow,0,0,0,0,0,1,
Chad Proehl,0,0,0,0,0,1,
David Berganio-Jr,0,0,0,0,0,3,
Jason Gore,0,0,0,0,0,1.5,
Cameron Beckman,0,0,0,0,0,3,
Matthew Nixon,0,0,0,1,0,0,
Simon Thornton,0,0,0,0,1,0,
Felipe Aguilar,0,0,0,0,1,0,
Gavin Moynihan,0,0,0,0,0,1,
Ruaidhri McGee,0,0,0,0,0,1,
Cormac Sharvin,0,0,0,0,0,1,
Mark Foster,0,0,0,0,0,1,
Paul McGinley,0,0,0,0,0,1,
Colm Moriarty,0,0,0,0,0,1,
Nicolas Geyger,0,0,0,0,0,1,
Christofer Blomstrand,0,0,0,0,0,1,
Cian McNamara,0,0,0,0,0,1,
Neil O'Briain,0,0,0,0,0,1,
Marcus Fraser,0,0,0,0,0,1.5,
Henric Sturehed,0,0,0,0,0,1,
John Peterson,0,0,0,0.5,3,0,
Steve Marino,0,0,0,0,1.5,3,
Chase Seiffert,0,0,1,0,0,0.5,
Wes Homan,0,0,0,0,0,0.5,
David S Bradshaw,0,0,0,0,0,0.5,
Bob Estes,0,0,0,0,1,6,
Blake Taylor,0,0,0,0,0,0.5,
Logan Lagodich,0,0,0,0,0,0.5,
Davey Jude,0,0,0,0,0,0.5,
Jon Curran,0,0,0,0,0,6,
Sam O'Dell,0,0,0,0,0,0.5,
Geoff Ogilvy,0,0,0,0,1,8.5,
Devin Gee,0,0,0,0,0,0.5,
Smylie Kaufman,0,0,0,0,0,11,
Ben Martin,0,0,0,0,6,6.5,
Andrew Svoboda,0,0,0,0,0,1,
Rick Lamb,0,0,0,0,0,4,
Adam D'Amario,0,0,0,0,0,1,
Sam Burns,0,0,1,1,5,1,
Tim Wilkinson,0,0,0,0,2,0,
Matt Parziale,0,0,0,0,2,2,
Luis Gagne,0,0,0,0,2,0,
Chris Naegel,0,0,0,0,2,0,
Calum Hill(Nov1994),0,0,0,0,2,0,
Andrew Johnston,0,0,0,0,2,0.5,
Cameron Wilson,0,0,0,0,2,0,
Will Grimmer,0,0,0,0,2,0,
Braden Thornberry,0,0,0,0,1,2,
Roberto Castro,0,0,0,0,0,2,
Lucas Glover,0,0,0,1,7,4,
Eric Axley,0,0,0,0,2,3,
Sebastian Vazquez,0,0,0,0,0,2,
Ty Strafaci,0,0,0,0,0,3,
Juan Sebastian Munoz,0,0,0,0,0,2,
Cole Miller,0,0,0,0,0,2,
Sungjoon Park,0,0,0,0,0,2,
David Bransdon,0,0,0,0,0,2,
Chris Babcock,0,0,0,0,0,2,
Michael Putnam,0,0,0,0,0,2,
Rhett Rasmussen,0,0,0,0,0,2,
Michael Miller(1992),0,0,0,0,0,2,
Stewart Hagestad(Am),0,0,0,0,0,2,
Liang Wenchong,0,0,0,0,0,2,
Jacob Bergeron,0,0,0,0,0,2,
Theo Humphrey(Am),0,0,0,0,0,2,
Yu Chun-an(am),0,0,0,0,0,2,
David Gazzolo,0,0,0,0,0,2,
Rikuya Hoshino,0,0,0,0,0,2,
Kristoffer Reitan,0,0,0,0,0,2,
Kenny Perry,0,0,0,0,0,3,
Garrett Rank,0,0,0,0,0,2,
Franklin Huang(Am),0,0,0,0,0,2,
Ryan Lumsden(Am),0,0,0,0,0,2,
Timothy Wiseman,0,0,0,0,0,2,
Noah Goodwin,0,0,0,0,0,3,
Shintaro Ban(Am),0,0,0,0,0,2,
Harry Ellis,0,0,0,0,0,5,
Sulman Raza,0,0,0,0,0,2,
Michael Hebert,0,0,0,0,0,2,
Philip Barbaree,0,0,0,0,0,2,
Scott Gregory,0,0,0,0,0,2,
Nate Lashley,0,0,0,0.5,2,3,
Scottie Scheffler(Am),0,0,0,0,1,1,
A.J. McInerney,0,0,0,0,1,1,
Grant Hirschman,0,0,0,0,1,0,
Casey Wittenberg,0,0,0,0,1,0,
Ben Crancer,0,0,0,0,0,1,
Zachary Olsen,0,0,0,0,0,1,
Dawson Armstrong,0,0,0,0,0,1,
Greg Chalmers,0,0,0,2,1.5,6,
Andrew Dorn,0,0,0,0,1,0,
Bud Cauley,0,0,0,3.5,1,5.5,
K.J. Choi,0,0,0,0,2,3.5,
Maverick McNealy,0,0,0,0,2,1,
Keith Clearwater,0,0,0,0,0,1,
James Heath,0,0,0,0,0.5,0,
Joost Luiten,0,0,0,0,1.5,0.5,
Paul O'Hara,0,0,0,0,0,0.5,
Robert Coles,0,0,0,0,0,0.5,
Richard Wallis,0,0,0,0,0,0.5,
Gavin Hay,0,0,0,0,0,0.5,
Oliver Goss,0,0,0,0,0,1,
Angel Cabrera,0,0,0,0,0,4,
Steven Ihm,0,0,0,0,0,1,
Ryan Baca,0,0,0,0,0,1.5,
Tom Whitney,0,0,0,0,0,1,
Brian Norman,0,0,0,0,0,1,
Scott McCarron,0,0,0,0,0,1.5,
Derek Ernst,0,0,0,0,0,2,
Ryan Ruffels,0,0,0,0,0,1,
Carter Jenkins,0,0,0,0,0,1,
J.T. Griffin,0,0,0,0,0,1,
Guillermo Pereira,0,0,0,0,0,1,
Luke Donald,0,0,0,0,2,4,
Philip Knowles,0,0,0,0,0,1,
Colt Knost,0,0,0,0,1,3,
Glen Day,0,0,0,0,0,1,
Jeff Maggert,0,0,0,0,0,1,
Steve Scott,0,0,0,0,0,1,
Bernd Wiesberger,0,0,0,2,2.5,1,
Fred Couples,0,0,0,0,2,0,
Jose M Olazabal,0,0,0,0,0,2,
Ian Woosnam,0,0,0,0,0,2,
Larry Mize,0,0,0,0,0,2,
Mark O'Meara,0,0,0,0,0,2,
Bobby Gates,0,0,0,0,0.5,0,
Dawie van der Walt,0,0,0,0,0.5,0,
